Mean_Thick;Max_Thick;SD_Thick;Weight;Surf_Plat;Surf_Plat_II;Plat_Depth;Cortex;Cortex_Loc;No_Scars;Long_Ridges;EPA;IPA
10,066667;13,1;2,72070252;17,83; 83,585000;167,17; 7,3;5;5;4;1; 51;120
 8,566667; 9,7;1,26578917;13,33; 90,480000;127,14; 7,8;5;5;3;0; 70;105
11,566667;16,8;4,60169051;20,33; 40,500000; 81,00; 3,6;3;2;2;0; 35;115
 5,500000; 6,7;1,42361043; 3,98; 59,670000; 79,05; 5,1;5;5;3;0; 66;111
11,166667;13,3;2,94656108;22,18;109,800000;219,60;12,0;4;4;3;0; 68;107
 5,466667; 6,7;1,53695225; 7,97; 51,340000;102,68; 6,8;5;5;1;0; 65;106
10,400000;14,6;3,27821089;24,16; 93,840000;187,68;10,2;5;5;2;0; 67;116
16,066667;19,2;2,26911632;96,20;210,625000;421,25;12,5;5;5;3;0; 66;119
16,700000;27,3;8,73765796;31,70; 17,460000; 34,92; 3,6;5;5;2;1; 30;125
11,233333;14,0;3,91265752;40,16;158,080000;316,16;12,8;5;5;2;0; 68;115
 9,966667;14,2;3,47019052;10,37; 73,080000;146,16;16,8;4;4;3;0; 74;116
 8,666667; 9,9;1,06562449; 7,57;  9,000000; 18,00; 3,0;5;5;3;0; 70;106
 8,100000; 9,6;1,65126214;11,91;158,270000;196,98; 9,8;5;5;3;1; 68;120
 8,766667;11,0;1,69377947; 9,21; 23,305000; 46,61; 5,9;5;5;2;0; 71;105
15,100000;17,9;2,06074420;15,66;  3,960000;  7,92; 1,8;5;5;3;0; 80;105
 4,766667; 6,2;1,10855261; 3,77; 44,880000; 89,76; 6,8;5;5;2;0; 70;102
 6,966667; 8,4;1,95675468; 6,17; 15,315264; 19,50; 2,5;5;5;2;0; 59;121
 7,933333; 9,3;0,96724121;10,80;159,250000;204,75; 9,1;5;5;5;0; 76;100
 8,500000; 9,4;0,88317609; 8,66; 15,810000; 31,62; 3,1;5;5;2;0; 60;104
11,333333;16,9;4,27733042;15,39; 62,100000; 85,20; 6,0;5;5;2;0;100;105
11,766667;13,7;2,73414622; 9,50; 38,700000; 53,10; 4,5;5;5;3;0; 69;115
 3,900000; 5,0;0,82865353; 1,86; 25,101325; 31,96; 3,4;5;5;3;0; 74;101
 9,133333; 9,8;0,67986927;12,91; 38,880000; 77,76; 7,2;5;5;1;0; 65;120
 6,633333; 7,1;0,52493386; 3,53; 28,910000; 57,82; 5,9;5;5;1;0; 56;115
11,200000;14,1;2,36784008;11,48;115,700000;231,40;13,0;3;4;2;0; 56;122
 7,000000; 7,1;0,14142136; 5,36; 31,110000; 62,22; 5,1;5;5;3;0; 66;110
 6,333333; 7,3;1,16141676; 2,13;  4,712389;  6,00; 2,0;5;5;2;1; 55;111
 7,566667; 9,6;1,71723292; 6,55; 19,920000; 39,84; 4,8;5;5;2;1; 98; 95
 6,466667;10,3;2,99146935; 3,43; 23,075000; 46,15; 6,5;5;5;2;0; 86;105
 9,433333;12,3;2,02703944;22,36; 46,400000; 92,80; 8,0;5;5;3;0; 76;110
15,500000;20,9;4,32974210;20,41;136,000000;165,60; 8,0;5;5;2;0; 77;122
 8,766667;10,5;1,42906341;10,72; 25,740000; 51,48; 4,4;3;2;2;0; 72;111
 7,466667; 9,3;1,55420576; 5,12; 69,690000;139,38;10,1;4;2;3;0; 64;100
10,133333;12,5;3,13723162;16,90; 75,375000;103,85; 6,7;5;5;4;0; 75;103
 6,500000; 8,9;1,79071680; 5,78; 15,032521; 19,14; 3,3;5;5;2;0; 79; 97
 4,966667; 6,3;1,35973854; 4,01; 11,160508; 14,21; 2,9;5;5;2;0; 55;115
 5,766667; 7,6;1,30213500; 6,98; 28,080000; 45,76; 5,2;5;5;3;0; 75;100
10,533333;13,8;3,36683168;11,87; 86,920000;100,70; 5,3;4;3;3;0; 85;100
17,833333;18,5;0,80553640;37,23; 85,120000;170,24;12,8;5;5;3;0; 84;115
18,533333;20,8;2,34710223;49,56; 53,600000;107,20; 8,0;5;5;3;0; 65;110
 6,833333; 7,8;0,71336449;12,26; 50,325000; 68,20; 5,5;5;5;3;1; 76;106
14,866667;24,5;7,57202453;68,70;189,070000;378,14;14,6;5;5;2;0; 55;111
11,833333;13,5;1,75941910;36,07; 62,800000;125,60; 8,0;5;5;3;0; 75;104
13,866667;19,3;3,95502493;50,71; 75,435000; 98,23; 4,7;5;5;4;0; 68;106
 6,400000; 8,0;1,55134350; 3,53; 25,500000; 51,00; 6,0;5;5;2;0; 60;113
